subject,type,question,optionA,optionB,optionC,optionD,answer,marks
Physics,MCQ,What is the SI unit of force?,Newton,Pascal,Joule,Watt,Newton,2
Physics,MCQ,What is the approximate value of g on Earth in m/s^2?,9.8,8.9,10.8,11.8,9.8,2
Physics,NUMERIC,Calculate the speed if distance 100 m and time 4 s.,,,, ,25,2
Physics,MCQ,Which quantity is a scalar?,Mass,Velocity,Acceleration,Displacement,Mass,1
Physics,MCQ,Which of these is the unit of electric current?,Volt,Ampere,Ohm,Watt,Ampere,1
Physics,TRUE_FALSE,Light travels faster than sound.,,,, ,True,1
Physics,MCQ,What is the unit of frequency?,Hertz,Newton,Pascal,Joule,Hertz,1
Physics,NUMERIC,If a body travels 60 km in 2 hours what is its speed in km/h?,,,, ,30,1
Physics,MCQ,Which law states action equals reaction?,Newton first law,Newton second law,Newton third law,Law of gravitation,Newton third law,2
Physics,MCQ,Which particle has negative charge?,Proton,Neutron,Electron,Positron,Electron,1
Physics,NUMERIC,What is the wavelength in meters of 3e8 m/s light at 6e14 Hz?,,,, ,5e-7,2
Physics,MCQ,What causes refraction of light?,Change of speed in medium,Reflection,Diffraction,Interference,Change of speed in medium,2
Physics,MCQ,Which surface causes regular reflection?,Rough surface,Polished surface,Matte surface,Rough glass,Polished surface,1
Physics,NUMERIC,If force 10 N acts on mass 2 kg what is acceleration in m/s^2?,,,, ,5,2
Physics,MCQ,Pressure is defined as force per what?,Area,Volume,Mass,Length,Area,1
Physics,TRUE_FALSE,Sound can travel in vacuum.,,,, ,False,1
Physics,MCQ,Which instrument measures electric current?,Voltmeter,Ammeter,Barometer,Hydrometer,Ammeter,1
Chemistry,MCQ,What is the chemical symbol for sodium?,Na,S,N,O,Na,1
Chemistry,MCQ,Water has which chemical formula?,H2O,CO2,O2,NaCl,H2O,1
Chemistry,NUMERIC,What is the pH value of neutral water at 25°C?,,,, ,7,1
Chemistry,MCQ,Which gas is liberated when acid reacts with zinc?,Hydrogen,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,2
Chemistry,TRUE_FALSE,Table salt is sodium chloride.,,,, ,True,1
Chemistry,MCQ,Which element is a noble gas?,Oxygen,Helium,Chlorine,Fluorine,Helium,1
Chemistry,MCQ,What is the valency of oxygen?,2,1,3,4,2,1
Chemistry,NUMERIC,Atomic number of Oxygen is what?,,,, ,8,1
Chemistry,MCQ,Which process turns liquid to gas at boiling point?,Evaporation,Condensation,Freezing,Melting,Evaporation,1
Chemistry,MCQ,Which acid is found in stomach?,Hydrochloric acid,Sulfuric acid,Acetic acid,Carbonic acid,Hydrochloric acid,2
Chemistry,NUMERIC,How many protons does Carbon have?,,,, ,6,1
Chemistry,MCQ,Which reagent tests for unsaturation?,Bromine water,Tollen reagent,Blue litmus,Universal indicator,Bromine water,2
Chemistry,TRUE_FALSE,Metals are generally good conductors of heat.,,,, ,True,1
Chemistry,MCQ,Which is an alkali metal?,Potassium,Sulfur,Carbon,Chlorine,Potassium,1
Chemistry,MCQ,What is the common name for sodium bicarbonate?,Baking soda,Table salt,Quicklime,Gypsum,Baking soda,1
Chemistry,NUMERIC,Relative atomic mass of Hydrogen approx.,,,, ,1,1
Chemistry,MCQ,Which gas is essential for respiration?,Oxygen,Hydrogen,Helium,Argon,Oxygen,1
Mathematics,MCQ,What is 12 times 12?,144,124,164,132,144,2
Mathematics,NUMERIC,What is the square root of 121?,,,, ,11,2
Mathematics,MCQ,What is the derivative of x^2?,2x,x,1,x^2,2x,2
Mathematics,MCQ,What is 7 plus 8?,15,14,16,13,15,1
Mathematics,NUMERIC,What is 25 percent of 200?,,,, ,50,1
Mathematics,MCQ,What is value of π approx?,3.14,2.71,1.62,4.13,3.14,1
Mathematics,MCQ,Which is an even number?,9,11,14,13,14,1
Mathematics,NUMERIC,What is 5 factorial (5!)?,,,, ,120,2
Mathematics,MCQ,What is the next prime after 7?,9,11,10,8,11,1
Mathematics,MCQ,What is 100 divided by 4?,25,20,50,40,25,1
Mathematics,NUMERIC,Area of square with side 6 is what?,,,, ,36,2
Mathematics,MCQ,What is 9 times 9?,81,72,99,90,81,1
Mathematics,MCQ,What is the sum of interior angles of triangle in degrees?,180,360,90,270,180,1
Mathematics,NUMERIC,What is the value of 2^10?,,,, ,1024,2
Mathematics,MCQ,Which is a rational number?,π,e,√2,3.5,3.5,1
Mathematics,NUMERIC,What is the hypotenuse of right triangle with sides 3 and 4?,,,, ,5,2
Mathematics,MCQ,What is 0 factorial?,0,1,Undefined,Infinity,1,1
